,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
19,ball,1,0.1,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
20,ball,1,0.2,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,4.0,0.0,,,India_Australia,2009/10/28
21,ball,1,0.3,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
22,ball,1,0.4,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
23,ball,1,0.5,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
24,ball,1,0.6,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,4.0,0.0,,,India_Australia,2009/10/28
25,ball,1,1.1,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,1.0,,,India_Australia,2009/10/28
26,ball,1,1.2,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
27,ball,1,1.3,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
28,ball,1,1.4,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
29,ball,1,1.5,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
30,ball,1,1.6,India,SR Tendulkar,V Sehwag,PM Siddle,4.0,0.0,,,India_Australia,2009/10/28
31,ball,1,1.7,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
32,ball,1,2.1,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,4.0,0.0,,,India_Australia,2009/10/28
33,ball,1,2.2,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
34,ball,1,2.3,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
35,ball,1,2.4,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
36,ball,1,2.5,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,1.0,,,India_Australia,2009/10/28
37,ball,1,2.6,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
38,ball,1,2.7,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,0.0,1.0,,,India_Australia,2009/10/28
39,ball,1,2.8,India,V Sehwag,SR Tendulkar,BW Hilfenhaus,1.0,0.0,,,India_Australia,2009/10/28
40,ball,1,3.1,India,V Sehwag,SR Tendulkar,PM Siddle,1.0,0.0,,,India_Australia,2009/10/28
41,ball,1,3.2,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
42,ball,1,3.3,India,SR Tendulkar,V Sehwag,PM Siddle,0.0,0.0,caught,SR Tendulkar,India_Australia,2009/10/28
43,ball,1,3.4,India,G Gambhir,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
44,ball,1,3.5,India,G Gambhir,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
45,ball,1,3.6,India,G Gambhir,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
46,ball,1,4.1,India,V Sehwag,G Gambhir,BW Hilfenhaus,4.0,0.0,,,India_Australia,2009/10/28
47,ball,1,4.2,India,V Sehwag,G Gambhir,BW Hilfenhaus,1.0,0.0,,,India_Australia,2009/10/28
48,ball,1,4.3,India,G Gambhir,V Sehwag,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
49,ball,1,4.4,India,G Gambhir,V Sehwag,BW Hilfenhaus,1.0,0.0,,,India_Australia,2009/10/28
50,ball,1,4.5,India,V Sehwag,G Gambhir,BW Hilfenhaus,0.0,1.0,,,India_Australia,2009/10/28
51,ball,1,4.6,India,V Sehwag,G Gambhir,BW Hilfenhaus,4.0,0.0,,,India_Australia,2009/10/28
52,ball,1,4.7,India,V Sehwag,G Gambhir,BW Hilfenhaus,0.0,0.0,,,India_Australia,2009/10/28
53,ball,1,5.1,India,G Gambhir,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
54,ball,1,5.2,India,G Gambhir,V Sehwag,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
55,ball,1,5.3,India,G Gambhir,V Sehwag,PM Siddle,4.0,0.0,,,India_Australia,2009/10/28
56,ball,1,5.4,India,G Gambhir,V Sehwag,PM Siddle,1.0,0.0,,,India_Australia,2009/10/28
57,ball,1,5.5,India,V Sehwag,G Gambhir,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
58,ball,1,5.6,India,V Sehwag,G Gambhir,PM Siddle,0.0,0.0,,,India_Australia,2009/10/28
59,ball,1,6.1,India,G Gambhir,V Sehwag,MG Johnson,1.0,0.0,,,India_Australia,2009/10/28
60,ball,1,6.2,India,V Sehwag,G Gambhir,MG Johnson,1.0,0.0,,,India_Australia,2009/10/28
61,ball,1,6.3,India,G Gambhir,V Sehwag,MG Johnson,0.0,0.0,,,India_Australia,2009/10/28
