,a,b,c,d,e,f,g,h,i,j,k,teams_playing,date_played
0,info,team,Australia,,,,,,,,,Australia_India,2009/09/28
1,info,team,India,,,,,,,,,Australia_India,2009/09/28
2,info,gender,male,,,,,,,,,Australia_India,2009/09/28
3,info,season,2009/10,,,,,,,,,Australia_India,2009/09/28
4,info,date,2009/09/28,,,,,,,,,Australia_India,2009/09/28
5,info,competition,ICC Champions Trophy,,,,,,,,,Australia_India,2009/09/28
6,info,match_number,9,,,,,,,,,Australia_India,2009/09/28
7,info,venue,SuperSport Park,,,,,,,,,Australia_India,2009/09/28
8,info,city,Centurion,,,,,,,,,Australia_India,2009/09/28
9,info,neutralvenue,true,,,,,,,,,Australia_India,2009/09/28
10,info,toss_winner,Australia,,,,,,,,,Australia_India,2009/09/28
11,info,toss_decision,bat,,,,,,,,,Australia_India,2009/09/28
12,info,umpire,BF Bowden,,,,,,,,,Australia_India,2009/09/28
13,info,umpire,IJ Gould,,,,,,,,,Australia_India,2009/09/28
14,info,reserve_umpire,AL Hill,,,,,,,,,Australia_India,2009/09/28
15,info,tv_umpire,Asad Rauf,,,,,,,,,Australia_India,2009/09/28
16,info,match_referee,JJ Crowe,,,,,,,,,Australia_India,2009/09/28
17,info,outcome,no result,,,,,,,,,Australia_India,2009/09/28
